world_timestamp,world_index,confidence,norm_pos_x,norm_pos_y,base_data,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,eye_center0_3d_x,eye_center0_3d_y,eye_center0_3d_z,gaze_normal0_x,gaze_normal0_y,gaze_normal0_z,eye_center1_3d_x,eye_center1_3d_y,eye_center1_3d_z,gaze_normal1_x,gaze_normal1_y,gaze_normal1_z
3330.264429,1518,0.986021768,0.310634923,0.304356936,3330.261349-0 3330.267509-1,,,,,,,,,,,,,,,
3330.268465,1518,0.986021768,0.310506681,0.304492197,3330.26942-0 3330.267509-1,,,,,,,,,,,,,,,
3330.2725,1519,0.973504917,0.310185854,0.304405266,3330.26942-0 3330.27558-1,,,,,,,,,,,,,,,
3330.276535,1519,0.973504917,0.310331115,0.302981976,3330.27749-0 3330.27558-1,,,,,,,,,,,,,,,
3330.28057,1519,1,0.311155396,0.305105717,3330.27749-0 3330.28365-1,,,,,,,,,,,,,,,
3330.284605,1519,1,0.309740034,0.306195393,3330.28556-0 3330.28365-1,,,,,,,,,,,,,,,
3330.28864,1519,0.960885716,0.308563357,0.303246677,3330.28556-0 3330.29172-1,,,,,,,,,,,,,,,
3330.292675,1519,0.960885716,0.308988007,0.303611868,3330.29363-0 3330.29172-1,,,,,,,,,,,,,,,
3330.29671,1519,0.987183797,0.308939159,0.303336008,3330.29363-0 3330.29979-1,,,,,,,,,,,,,,,
3330.300745,1519,0.987183797,0.309217125,0.30310528,3330.3017-0 3330.29979-1,,,,,,,,,,,,,,,
3330.30478,1520,1,0.309217125,0.30310528,3330.3017-0 3330.30786-1,,,,,,,,,,,,,,,
3330.308815,1520,1,0.310308941,0.302186843,3330.30977-0 3330.30786-1,,,,,,,,,,,,,,,
3330.31285,1520,0.959663415,0.313248646,0.301152381,3330.30977-0 3330.31593-1,,,,,,,,,,,,,,,
3330.316885,1520,0.959663415,0.325076671,0.301253769,3330.31784-0 3330.31593-1,,,,,,,,,,,,,,,
3330.320921,1520,1,0.327947015,0.29364612,3330.31784-0 3330.324001-1,,,,,,,,,,,,,,,
3330.324956,1520,1,0.342955344,0.294297461,3330.325911-0 3330.324001-1,,,,,,,,,,,,,,,
3330.328991,1520,0.93749522,0.348460229,0.294659278,3330.325911-0 3330.332071-1,,,,,,,,,,,,,,,
3330.333026,1520,0.93749522,0.362644507,0.297729115,3330.333981-0 3330.332071-1,,,,,,,,,,,,,,,
3330.337061,1520,0.861554757,0.369979604,0.297617241,3330.333981-0 3330.340141-1,,,,,,,,,,,,,,,
3330.341096,1521,0.861554757,0.387858978,0.300721936,3330.342051-0 3330.340141-1,,,,,,,,,,,,,,,
3330.348211,1521,0.53506752,0.430829502,0.267717184,3330.348211-1,,,,,,,,,,,,,,,
3330.349166,1521,1,0.402007883,0.291228993,3330.342051-0 3330.356281-1,,,,,,,,,,,,,,,
3330.353201,1521,1,0.416284846,0.293181323,3330.350121-0 3330.356281-1,,,,,,,,,,,,,,,
3330.357236,1521,1,0.431142429,0.29618365,3330.358191-0 3330.356281-1,,,,,,,,,,,,,,,
3330.361271,1521,1,0.435930029,0.292221017,3330.358191-0 3330.364351-1,,,,,,,,,,,,,,,
3330.365306,1521,1,0.447076963,0.293001859,3330.366261-0 3330.364351-1,,,,,,,,,,,,,,,
3330.369342,1521,1,0.449517503,0.292739265,3330.366261-0 3330.372422-1,,,,,,,,,,,,,,,
3330.373376,1522,1,0.449807073,0.293596718,3330.374331-0 3330.372422-1,,,,,,,,,,,,,,,
3330.377411,1522,0.959217486,0.449977131,0.295939083,3330.374331-0 3330.380492-1,,,,,,,,,,,,,,,
3330.381447,1522,0.959217486,0.449626836,0.293640337,3330.382402-0 3330.380492-1,,,,,,,,,,,,,,,
3330.385482,1522,1,0.450099105,0.29399409,3330.382402-0 3330.388562-1,,,,,,,,,,,,,,,
3330.389517,1522,1,0.450005889,0.294367139,3330.390472-0 3330.388562-1,,,,,,,,,,,,,,,
3330.393552,1522,1,0.450061872,0.294618903,3330.390472-0 3330.396632-1,,,,,,,,,,,,,,,
